instance_id,drugName,smiles
1,metformin,CN(C)C(=N)N=C(N)N
2,metformin,CN(C)C(=N)N=C(N)N
3,metformin,CN(C)C(=N)N=C(N)N
4,metformin,CN(C)C(=N)N=C(N)N
21,phenformin,C1=CC=C(C=C1)CCN=C(N)N=C(N)N
22,phenyl biguanide,C1=CC=C(C=C1)N=C(N)N=C(N)N
23,valproic acid,CCCC(CCC)C(=O)O
61,metformin,CN(C)C(=N)N=C(N)N
121,estradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
122,alpha-estradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O
123,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
124,mesalazine,C1=CC(=C(C=C1N)C(=O)O)O
141,chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
142,tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
143,tamoxifen,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
144,chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
161,verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
164,dexverapamil,CC(C)[C@@](CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
165,exemestane,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C
166,rofecoxib,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
167,amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
168,sulindac,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
169,tacrolimus,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC
201,15-delta prostaglandin J2,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O
202,raloxifene,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
203,nordihydroguaiaretic acid,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N/N=C/3\C=CC(=O)C(=C3)C(=O)O
204,sulfasalazine,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
205,rofecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
206,celecoxib,COC(=O)C1=CC2=C(N1CC3=CC=C(C=C3)Cl)C=CC(=C2)S(=O)(=O)C
207,LM-1685,CS(=O)(=O)C1=CC=C(C=C1)N2C(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)F
208,SC-58125,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC
221,tanespimycin,CCCC1=C(C=CC(=C1O)C(=O)C)OCCCCC2=NNN=N2
222,tomelukast,C/C(=C\C1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)C(CCC3(C)C)(C)C
223,TTNPB,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
224,tretinoin,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
251,rofecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
252,celecoxib,COC(=O)C1=CC2=C(N1CC3=CC=C(C=C3)Cl)C=CC(=C2)S(=O)(=O)C
253,LM-1685,CS(=O)(=O)C1=CC=C(C=C1)N2C(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)F
254,SC-58125,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
255,dexamethasone,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
256,rofecoxib,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
258,LY-294002,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
261,ciclosporin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
262,indometacin,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
